GeneSymbol,Subcellular_location
PFDN5,Nucleus
IL36G,Cytoplasm
FGD2,Cytoplasm
CCR1,Cell membrane
RAB11FIP5,Cytoplasm
HELT,Nucleus
OR8I2,Cell membrane
LARP6,Cytoplasm
PLEKHG5,Cytoplasm
ZNF34,Nucleus
KCTD7,Cell membrane
ETS2,Nucleus
PTPN14,Cytoplasm
U2SURP,Nucleus
PCDHB3,Cell membrane
ADAD1,Nucleus
BZW2,Cytoplasm
AGO3,Cytoplasm
CDK1,Nucleus
C10orf90,Cytoplasm
ARHGEF12,Cytoplasm
ANAPC16,Cytoplasm
MED21,Nucleus
KIF26B,Cytoplasm
LIMA1,Cytoplasm
OR13C5,Cell membrane
SH2D2A,Cytoplasm
DLX5,Nucleus
ASAP3,Cytoplasm
PACSIN3,Cytoplasm
TIGAR,Cytoplasm
DYRK2,Cytoplasm
CD163,Cell membrane
ZNF26,Nucleus
EGLN3,Nucleus
FRA10AC1,Nucleus
RPSA2,Cell membrane
CIB2,Cytoplasm
RPL10,Cytoplasm
TBC1D25,Cytoplasm
ZNF280C,Nucleus
ISL2,Nucleus
CALCOCO2,Cytoplasm
PCTP,Cytoplasm
TAAR6,Cell membrane
ZNF267,Nucleus
ZBTB24,Nucleus
NHERF1,Cytoplasm
GPR160,Cell membrane
MKNK2,Cytoplasm
MYH13,Cytoplasm
H4C2,Nucleus
BLNK,Cytoplasm
PSMA7,Cytoplasm
NR3C1,Nucleus
ABTB1,Cytoplasm
SACS,Cytoplasm
AARSD1,Cytoplasm
BMPR1B,Cell membrane
EPC2,Nucleus
HOMER1,Cytoplasm
OR4K14,Cell membrane
OR52N1,Cell membrane
OR2T7,Cell membrane
ACKR3,Cell membrane
ARMC12,Nucleus
ZNF845,Nucleus
DTD2,Cytoplasm
BAALC,Cytoplasm
METTL23,Nucleus
NEK2,Nucleus
JAKMIP1,Cytoplasm
OR3A1,Cell membrane
ARHGEF2,Cytoplasm
AXIN2,Cytoplasm
KLHL21,Cytoplasm
BTBD10,Nucleus
LY6E,Cell membrane
SRRM2,Nucleus
GSTA4,Cytoplasm
DRD2,Cell membrane
SLC2A11,Cell membrane
LRRC1,Cytoplasm
HTR4,Cell membrane
KY,Cytoplasm
OR1D4,Cell membrane
LTB4R,Cell membrane
ALDH3B1,Cell membrane
CHMP4B,Cytoplasm
KCNK3,Cell membrane
HNRNPR,Nucleus
ANK3,Cytoplasm
CD86,Cell membrane
GPR50,Cell membrane
BAX,Cytoplasm
H2AC17,Nucleus
OR2AP1,Cell membrane
OR5J2,Cell membrane
PLPP3,Cell membrane
POU2F3,Nucleus
NOP10,Nucleus
SIRT1,Cytoplasm
ADGRD1,Cell membrane
SPAG8,Cytoplasm
ECD,Cytoplasm
TUBD1,Nucleus
TAF9B,Nucleus
DCANP1,Nucleus
NPBWR2,Cell membrane
VPS25,Cytoplasm
TCAF2,Cell membrane
MTSS1,Cytoplasm
VEZT,Cell membrane
HORMAD2,Nucleus
CNNM4,Cell membrane
CEBPG,Nucleus
TRUB1,Nucleus
HASPIN,Nucleus
H3C13,Nucleus
SH3GL2,Cytoplasm
LYNX1,Cell membrane
FLRT1,Cell membrane
USB1,Nucleus
CAPN2,Cytoplasm
YPEL1,Nucleus
NUMB,Cell membrane
AGAP1,Cytoplasm
DENND4A,Nucleus
SCAF11,Nucleus
SF3B6,Nucleus
IKBKB,Cytoplasm
SEMA4A,Cell membrane
RHNO1,Nucleus
TCAP,Cytoplasm
OR51F2,Cell membrane
BAIAP3,Cytoplasm
NR4A1,Nucleus
CFC1,Cell membrane
HOXB6,Nucleus
TMEM100,Cell membrane
NEK1,Nucleus
MTAP,Cytoplasm
ZMYM2,Nucleus
OR2L8,Cell membrane
SNAI3,Nucleus
GRM1,Cell membrane
TAPBPL,Cell membrane
CUTC,Cytoplasm
FASLG,Nucleus
CLASRP,Nucleus
SRCIN1,Cytoplasm
RUNX3,Nucleus
TMEM8B,Cell membrane
ZGPAT,Nucleus
CHP2,Nucleus
ENPEP,Cell membrane
MED31,Nucleus
SRSF1,Cytoplasm
PHF20,Nucleus
LRRTM4,Cell membrane
GAD2,Cytoplasm
APOBEC1,Cytoplasm
MFAP3L,Cell membrane
S100A14,Cytoplasm
NOL3,Cytoplasm
SETSIP,Cytoplasm
CUL2,Nucleus
LIN7C,Cell membrane
RNF38,Nucleus
NUP35,Nucleus
MRTO4,Nucleus
KIR3DS1,Cell membrane
DHRS4,Nucleus
ZNF783,Nucleus
TTC4,Nucleus
BTK,Cytoplasm
AFG2A,Cytoplasm
DCLRE1A,Nucleus
OR6C6,Cell membrane
SLC16A10,Cell membrane
SULT1A2,Cytoplasm
OBSL1,Cytoplasm
NTHL1,Nucleus
SH3GL1,Cytoplasm
MLLT1,Nucleus
STOML2,Cell membrane
H2AC4,Nucleus
CITED2,Nucleus
GSTO1,Cytoplasm
ASF1B,Nucleus
CFAP298,Cytoplasm
ACHE,Cell membrane
RIN3,Cytoplasm
PSTPIP1,Cytoplasm
LHCGR,Cell membrane
BMAL1,Nucleus
UBB,Cytoplasm
CMYA5,Nucleus
GTF2H2C_2,Nucleus
RNF39,Cytoplasm
LRRC55,Cell membrane
CDKL4,Cytoplasm
NUP210,Nucleus
SIN3B,Nucleus
ZP4,Cell membrane
KIF14,Nucleus
SNRNP40,Nucleus
SLC12A6,Cell membrane
TBC1D3,Cell membrane
ZNF181,Nucleus
GNG8,Cell membrane
PRKAR2B,Cytoplasm
GFI1B,Nucleus
ZNF438,Nucleus
SMG5,Cytoplasm
KCNA4,Cell membrane
GPRIN1,Cell membrane
CLASP1,Cytoplasm
RGS22,Cytoplasm
PAPOLG,Nucleus
FBXO6,Cytoplasm
SMARCD3,Nucleus
SMN2,Nucleus
PPP4R3B,Cytoplasm
NPLOC4,Cytoplasm
MAGEA10,Nucleus
CINP,Nucleus
RAB8A,Cell membrane
NRAS,Cell membrane
SYNJ2,Cytoplasm
CSMD3,Cell membrane
AHI1,Cytoplasm
HNRNPK,Cytoplasm
LILRA4,Cell membrane
GRK4,Cytoplasm
OLIG3,Nucleus
FAM9C,Nucleus
RAB24,Cytoplasm
GRIN1,Cell membrane
NMUR2,Cell membrane
SNRPB,Cytoplasm
CCDC39,Cytoplasm
FCF1,Nucleus
CDK7,Nucleus
NCKAP1L,Cell membrane
UBL5,Cytoplasm
OR51B5,Cell membrane
PRDX4,Cytoplasm
STAT3,Cytoplasm
CAMK1,Cytoplasm
ZSCAN20,Nucleus
PPP1CC,Cytoplasm
OR52E8,Cell membrane
SRSF5,Nucleus
ZSCAN23,Nucleus
TOMM34,Cytoplasm
DNMT1,Nucleus
JUND,Nucleus
SRPK2,Cytoplasm
DAZL,Cytoplasm
FBXO3,Nucleus
MNX1,Nucleus
RRAGC,Cytoplasm
H3Y1,Nucleus
TPPP2,Cytoplasm
FEZ1,Cytoplasm
GPR183,Cell membrane
DOT1L,Nucleus
NONO,Nucleus
HEXIM2,Nucleus
CEP350,Cytoplasm
MACROH2A1,Nucleus
TRAC,Cell membrane
LRRC8E,Cell membrane
MYCBP2,Nucleus
ITPRIP,Cell membrane
LRRC34,Nucleus
PSCA,Cell membrane
ZNF706,Cytoplasm
SPG11,Cytoplasm
PAK1,Cytoplasm
RAPH1,Cell membrane
FBL,Nucleus
UBASH3A,Cytoplasm
NFE2L2,Cytoplasm
SCLY,Cytoplasm
TRIM63,Cytoplasm
KCTD17,Cytoplasm
YKT6,Cytoplasm
OR5K2,Cell membrane
MTPAP,Cytoplasm
MAEA,Cytoplasm
CCKBR,Cell membrane
ARHGEF5,Cytoplasm
KATNAL2,Cytoplasm
ANO6,Cell membrane
HMGB3,Nucleus
THRA,Cytoplasm
UBQLN1,Cytoplasm
KIR3DL1,Cell membrane
GNL3,Nucleus
LASP1,Cytoplasm
SHOX2,Nucleus
ZNF233,Nucleus
NDRG1,Cytoplasm
ABL2,Cytoplasm
CRYAB,Cytoplasm
CRNN,Cytoplasm
PROP1,Nucleus
AP3D1,Cytoplasm
HAUS2,Cytoplasm
DHX8,Nucleus
NCF1,Cytoplasm
FGFR3,Cell membrane
ACTBL2,Cytoplasm
GATA1,Nucleus
CENPJ,Cytoplasm
LTB4R2,Cell membrane
RELT,Cell membrane
LANCL1,Cytoplasm
CCT5,Cytoplasm
FHIT,Cytoplasm
KLRC2,Cell membrane
ZNF554,Nucleus
SLC7A10,Cell membrane
MASTL,Cytoplasm
ZNF705D,Nucleus
C6orf89,Cytoplasm
PDXK,Cytoplasm
SLC26A2,Cell membrane
KCNJ1,Cell membrane
GTF2H3,Nucleus
ZBTB6,Nucleus
FABP5,Cytoplasm
MIS18BP1,Nucleus
ZNF549,Nucleus
SPRED2,Cell membrane
FANCA,Nucleus
SLC16A1,Cell membrane
RFPL4A,Cytoplasm
DVL3,Cytoplasm
PSTPIP2,Cytoplasm
PKNOX2,Nucleus
NKX2-5,Nucleus
ROCK2,Cytoplasm
USP25,Cytoplasm
ZNF219,Nucleus
QTRT1,Cytoplasm
MRAP2,Cell membrane
GRIN2C,Cell membrane
EXOSC6,Cytoplasm
PRKCA,Cytoplasm
LYPLA1,Cytoplasm
NASP,Cytoplasm
CREB3L3,Nucleus
PSMB4,Cytoplasm
GTF3C2,Nucleus
CRK,Cytoplasm
TAF8,Nucleus
RET,Cell membrane
PIK3CB,Cytoplasm
NOD1,Cell membrane
ZBTB39,Nucleus
IKZF2,Nucleus
DDX56,Nucleus
SEPTIN8,Cytoplasm
PHIP,Nucleus
TBC1D3D,Cell membrane
RAX,Nucleus
IRF2BPL,Nucleus
STK3,Cytoplasm
BRMS1,Nucleus
KDM5A,Nucleus
HNRNPAB,Nucleus
CCR8,Cell membrane
NKX1-1,Nucleus
TPMT,Cytoplasm
HOXA4,Nucleus
PURA,Nucleus
ZNF443,Nucleus
OSGEP,Cytoplasm
WIPF3,Cytoplasm
BTBD1,Cytoplasm
MELTF,Cell membrane
IZUMO1,Cell membrane
RAB38,Cell membrane
GPR119,Cell membrane
CEACAM8,Cell membrane
LSP1,Cell membrane
SNCAIP,Cytoplasm
SLC39A3,Cell membrane
ZBTB34,Nucleus
RBFOX3,Nucleus
IPO13,Cytoplasm
TNRC6B,Cytoplasm
SPRN,Cell membrane
WWP2,Nucleus
CARF,Nucleus
OR10AC1,Cell membrane
MYH2,Cytoplasm
PFAS,Cytoplasm
PADI3,Cytoplasm
ZFAND5,Cytoplasm
AURKA,Cytoplasm
PAQR7,Cell membrane
ATXN7,Cytoplasm
FREM2,Cell membrane
OLIG2,Nucleus
ZNF263,Nucleus
MAFK,Nucleus
OR11H4,Cell membrane
ZNF566,Nucleus
AGBL2,Cytoplasm
DDX51,Nucleus
POU5F1,Cytoplasm
HLA-A,Cell membrane
NIBAN1,Cytoplasm
ARX,Nucleus
BRF1,Nucleus
OR52B4,Cell membrane
RAD50,Nucleus
PIK3AP1,Cytoplasm
RGS3,Cytoplasm
ZNF502,Nucleus
GPR37,Cell membrane
HOXA9,Nucleus
DCAF7,Cytoplasm
INPP5E,Cytoplasm
IL1R2,Cell membrane
GPR52,Cell membrane
SH3D19,Cytoplasm
OLIG1,Nucleus
CASR,Cell membrane
FCRLB,Cytoplasm
H2BC8,Nucleus
ZNF213,Nucleus
SH3PXD2B,Cytoplasm
FILIP1L,Cytoplasm
MAN2C1,Cytoplasm
HLA-DQB1,Cell membrane
PCSK9,Cytoplasm
AHNAK,Nucleus
HRH4,Cell membrane
NT5C3B,Cytoplasm
TRAF3,Cytoplasm
LYL1,Nucleus
KAT2A,Nucleus
ZNF84,Nucleus
ZNF420,Nucleus
PACRG,Cytoplasm
CDK11B,Cytoplasm
DNAI2,Cytoplasm
PHLDA1,Cytoplasm
CCDC85B,Nucleus
RBSN,Cell membrane
CMKLR1,Cell membrane
NEUROD4,Nucleus
ZNF763,Nucleus
STARD13,Cytoplasm
DGCR6L,Nucleus
DPP10,Cell membrane
DLL4,Cell membrane
APLP2,Cell membrane
TPM1,Cytoplasm
MEF2C,Nucleus
CYSLTR2,Cell membrane
PITX3,Nucleus
CTPS1,Cytoplasm
METTL21A,Cytoplasm
SLC27A6,Cell membrane
AGBL1,Cytoplasm
TTC3,Nucleus
POLR3C,Nucleus
NR1H2,Nucleus
TAX1BP1,Cytoplasm
LAT2,Cell membrane
KCTD1,Nucleus
THOC5,Nucleus
MAX,Nucleus
RAPGEF5,Nucleus
SLAMF6,Cell membrane
RPA4,Nucleus
TFEB,Nucleus
ZBTB22,Nucleus
PARP1,Cytoplasm
HSPA12A,Cytoplasm
NSFL1C,Nucleus
KLF1,Nucleus
GNAI3,Cytoplasm
RSPH9,Cytoplasm
LYPD6B,Cell membrane
PCDHB6,Cell membrane
NUP50,Nucleus
USP9X,Cytoplasm
TBCK,Cytoplasm
BTAF1,Nucleus
PABPC1,Cytoplasm
E2F6,Nucleus
E2F7,Nucleus
SP110,Nucleus
CACNG8,Cell membrane
NNMT,Cytoplasm
CLC,Cytoplasm
AKAP8,Nucleus
TARS3,Cytoplasm
USH1C,Cytoplasm
TSR3,Cytoplasm
EHBP1,Cytoplasm
OR4P4,Cell membrane
DUSP13B,Cytoplasm
IFIH1,Cytoplasm
PCDHAC1,Cell membrane
ACTR3B,Cytoplasm
VIPR1,Cell membrane
PLA2G4C,Cell membrane
ERMN,Cytoplasm
PDIK1L,Nucleus
LRBA,Cell membrane
M1AP,Cytoplasm
SLMAP,Cell membrane
UBR2,Nucleus
TEX44,Cytoplasm
NSL1,Nucleus
PPIP5K2,Cytoplasm
MYO3A,Cytoplasm
HSD17B14,Cytoplasm
ZCCHC9,Nucleus
WBP2,Cytoplasm
NR0B2,Nucleus
CLCNKB,Cell membrane
MZT1,Cytoplasm
GPS1,Cytoplasm
L3MBTL2,Nucleus
GPR17,Cell membrane
ZNF726,Nucleus
PMM2,Cytoplasm
CHD5,Nucleus
CBX6,Nucleus
AQP1,Cell membrane
CRTC1,Cytoplasm
PCDHA3,Cell membrane
SLK,Cytoplasm
NKIRAS2,Cytoplasm
H3C2,Nucleus
ARHGAP22,Cytoplasm
ZIM2,Nucleus
HEBP2,Cytoplasm
PNPT1,Cytoplasm
UNC5C,Cell membrane
SLCO2A1,Cell membrane
DHX33,Nucleus
DDX28,Nucleus
GAS2L3,Cytoplasm
HSD17B13,Cytoplasm
ONECUT2,Nucleus
SP100,Nucleus
HNRNPCL1,Nucleus
MOV10,Cytoplasm
PAQR9,Cell membrane
IDE,Cytoplasm
FBXO2,Cytoplasm
BUB1,Nucleus
FKBP15,Cytoplasm
LGALS7,Cytoplasm
NKAIN4,Cell membrane
TREX2,Nucleus
SPPL2B,Cell membrane
NDC80,Nucleus
CHD9,Cytoplasm
CSNK1G2,Cytoplasm
EIF3I,Cytoplasm
OR10W1,Cell membrane
CUX2,Nucleus
TBCC,Cytoplasm
OR10G9,Cell membrane
ZFYVE16,Cytoplasm
ZNF496,Nucleus
OR51B6,Cell membrane
OR8K3,Cell membrane
DMC1,Nucleus
SPDL1,Cytoplasm
ZDHHC5,Cell membrane
BACE2,Cell membrane
PREP,Cytoplasm
ZNF681,Nucleus
HERC3,Cytoplasm
MAPK3,Cytoplasm
PRKAR1B,Cell membrane
NSF,Cytoplasm
RLIM,Nucleus
SYT8,Cell membrane
ZNF112,Nucleus
OLR1,Cell membrane
ZNF622,Cytoplasm
RHCG,Cell membrane
NCAPG,Nucleus
PCDHA7,Cell membrane
KIR2DL5A,Cell membrane
LCP1,Cytoplasm
ALOX5,Cytoplasm
SEC31B,Cytoplasm
HSD17B1,Cytoplasm
ZNF500,Nucleus
ALK,Cell membrane
RMND5B,Cytoplasm
OR9G4,Cell membrane
BTBD2,Cytoplasm
KIR2DL2,Cell membrane
OR2T4,Cell membrane
H3C14,Nucleus
OR4A15,Cell membrane
IL1RN,Cytoplasm
RPS13,Cytoplasm
MCC,Cell membrane
IRX6,Nucleus
NUP133,Nucleus
SRSF11,Nucleus
ATOH8,Nucleus
XRCC5,Nucleus
EGLN2,Nucleus
FLACC1,Cytoplasm
IRF8,Nucleus
CHFR,Nucleus
UBE2D1,Cytoplasm
PADI4,Cytoplasm
OR2T5,Cell membrane
CNR2,Cell membrane
CC2D2A,Cytoplasm
SHMT1,Cytoplasm
CORO2B,Cytoplasm
VRK1,Nucleus
ZNF264,Nucleus
KLHDC3,Cytoplasm
OR5B12,Cell membrane
TRIM67,Cytoplasm
EDRF1,Nucleus
CDK20,Nucleus
RIMBP2,Cell membrane
RAD51B,Nucleus
OR14K1,Cell membrane
GPR88,Cell membrane
EME1,Nucleus
ARRDC3,Cytoplasm
LAP3,Cytoplasm
CDC37L1,Cytoplasm
KIR2DS1,Cell membrane
EXOC6,Cytoplasm
TATDN1,Nucleus
CTNNB1,Cytoplasm
OR51S1,Cell membrane
DRG1,Nucleus
FAM107A,Nucleus
OR4D10,Cell membrane
RGN,Cytoplasm
RBMY1B,Nucleus
AGTR1,Cell membrane
ACTRT2,Cytoplasm
PARD6A,Cytoplasm
GJB6,Cell membrane
NUCKS1,Nucleus
ZNF768,Nucleus
ZNF230,Nucleus
GTF2H1,Nucleus
NR2C1,Nucleus
DPRX,Nucleus
AHSP,Cytoplasm
OR2T11,Cell membrane
ZBTB16,Nucleus
SLX1B,Nucleus
RHOC,Cell membrane
EXOSC5,Nucleus
TAS1R1,Cell membrane
RBMS2,Nucleus
NMT2,Cytoplasm
MAP3K13,Cytoplasm
KRIT1,Cytoplasm
FBXO10,Cytoplasm
SLC8A1,Cell membrane
PRDM9,Nucleus
SNAP29,Cytoplasm
AUTS2,Nucleus
TRAF2,Cytoplasm
HDAC3,Nucleus
CSTF2,Nucleus
RFX5,Nucleus
ZNF347,Nucleus
ZNF280A,Nucleus
MAPK8,Cytoplasm
CCDC117,Cytoplasm
ZNF287,Nucleus
CXCR5,Cell membrane
CTTNBP2,Cytoplasm
ENOX2,Cell membrane
GNG4,Cell membrane
APOL3,Cytoplasm
ZNF451,Nucleus
OR10Z1,Cell membrane
ZMYND8,Nucleus
TAF12,Nucleus
OOEP,Cytoplasm
KIR2DL3,Cell membrane
SETD3,Cytoplasm
UPB1,Cytoplasm
ZBTB7B,Nucleus
ICA1,Cytoplasm
ZNF90,Nucleus
CREBL2,Nucleus
IL18,Cytoplasm
RPL35A,Cytoplasm
TRIP12,Nucleus
SGCB,Cell membrane
PHF7,Nucleus
APBB1IP,Cell membrane
NOP16,Nucleus
TFAP2E,Nucleus
MAPK4,Cytoplasm
NSUN6,Cytoplasm
PPIP5K1,Cytoplasm
BEX1,Nucleus
ATP1A3,Cell membrane
OPCML,Cell membrane
JOSD2,Cytoplasm
TCL1A,Cytoplasm
SNRPB2,Nucleus
IKBKG,Cytoplasm
CENPS,Nucleus
INKA2,Nucleus
MYH6,Cytoplasm
KIF13A,Cytoplasm
NPHP4,Cytoplasm
USF2,Nucleus
THTPA,Cytoplasm
POMP,Cytoplasm
FSCN1,Cytoplasm
IRX4,Nucleus
NSD3,Nucleus
ZNF76,Nucleus
RASSF5,Cytoplasm
USP8,Cytoplasm
ATG7,Cytoplasm
GCKR,Cytoplasm
DLGAP5,Nucleus
HEMGN,Nucleus
AIP,Cytoplasm
SRC,Cell membrane
UBE2O,Cytoplasm
ZNF813,Nucleus
DACH2,Nucleus
FAM50A,Nucleus
CAV2,Nucleus
DCAF8,Nucleus
MAPKAPK5,Cytoplasm
NAT8L,Cytoplasm
SLC27A1,Cell membrane
ZNF444,Nucleus
KATNA1,Cytoplasm
PCM1,Cytoplasm
LRRTM2,Cell membrane
ZNF574,Nucleus
PHLDB2,Cytoplasm
AIRIM,Nucleus
PRKRIP1,Nucleus
ZC3H15,Cytoplasm
RMI2,Nucleus
SRSF3,Nucleus
CD63,Cell membrane
TBX6,Nucleus
PHKA1,Cell membrane
TLX1,Nucleus
EVC2,Cell membrane
SPAG5,Cytoplasm
DHX32,Nucleus
PRMT5,Cytoplasm
SFN,Cytoplasm
METTL2A,Cytoplasm
RPL14,Cytoplasm
MYO1C,Nucleus
TCEAL9,Nucleus
PTAFR,Cell membrane
ZSCAN26,Nucleus
GPR162,Cell membrane
PTPRA,Cell membrane
NEURL1,Cytoplasm
HLA-DRB3,Cell membrane
DOCK3,Cytoplasm
RPL13,Cytoplasm
ID2,Cytoplasm
NUMBL,Cytoplasm
WDR48,Nucleus
CELSR1,Cell membrane
RRP1,Nucleus
KIAA0513,Cytoplasm
PLPPR5,Cell membrane
ENO1,Nucleus
PTTG1,Cytoplasm
OR9A4,Cell membrane
NTNG1,Cell membrane
HMGB2,Nucleus
PPP1R26,Nucleus
MYMX,Cell membrane
NEO1,Cell membrane
IGHG3,Cell membrane
CELF3,Nucleus
SAV1,Nucleus
ZKSCAN1,Nucleus
OR10P1,Cell membrane
GATA2,Nucleus
OLA1,Cytoplasm
S1PR1,Cell membrane
FAM83H,Cytoplasm
RGS6,Cytoplasm
KANSL1,Nucleus
NUMA1,Cytoplasm
BRK1,Cytoplasm
ZNF275,Nucleus
RNF6,Nucleus
STXBP5,Cytoplasm
DCAF1,Cytoplasm
PATL2,Cytoplasm
ABCG5,Cell membrane
TRDMT1,Cytoplasm
STAC2,Cytoplasm
PWWP3A,Nucleus
THRSP,Nucleus
NPSR1,Cytoplasm
DNAJC24,Cytoplasm
OR5K3,Cell membrane
KCNT2,Cell membrane
PSMC6,Cytoplasm
TRIM10,Cytoplasm
MYBBP1A,Cytoplasm
NCOA5,Nucleus
FGD4,Cytoplasm
SNX15,Cytoplasm
TRNP1,Nucleus
XPO7,Cytoplasm
NKAIN2,Cell membrane
CEP20,Cytoplasm
ABCA7,Cytoplasm
ETHE1,Cytoplasm
ANKRD49,Nucleus
BOD1L2,Cytoplasm
ZNF705A,Nucleus
WDR18,Nucleus
ASB2,Cytoplasm
MPLKIP,Nucleus
MAGEC2,Cytoplasm
PIM1,Cell membrane
TTF1,Nucleus
ERMAP,Cell membrane
FOXD1,Nucleus
EHD2,Cell membrane
OR52P1,Cell membrane
POM121,Nucleus
USP17L20,Nucleus
PRPF31,Nucleus
SFMBT1,Nucleus
CNTN1,Cell membrane
SF3A1,Nucleus
LARP1,Cytoplasm
RIF1,Nucleus
OR10H5,Cell membrane
SETX,Nucleus
ASB6,Cytoplasm
MRE11,Nucleus
GABPB1,Nucleus
TTLL3,Cytoplasm
IQCG,Cytoplasm
KDM5B,Nucleus
PPP1R14A,Cytoplasm
HDAC4,Nucleus
PLA2G4A,Cytoplasm
MVP,Cytoplasm
OR5D18,Cell membrane
OR2B6,Cell membrane
TUB,Cytoplasm
MZT2B,Cytoplasm
PIWIL1,Cytoplasm
MSI1,Cytoplasm
SAFB,Nucleus
PCDHA8,Cell membrane
SLA,Cytoplasm
HNRNPA1,Nucleus
ZNF662,Nucleus
RSPH6A,Cytoplasm
VCL,Cell membrane
LDHB,Cytoplasm
MRGPRX1,Cell membrane
ECT2,Nucleus
FLNA,Cytoplasm
CUL5,Nucleus
AGFG1,Nucleus
BCAR3,Cytoplasm
OR5D13,Cell membrane
CERKL,Cytoplasm
HES2,Nucleus
DYNC1I1,Cytoplasm
TIPRL,Cytoplasm
RPAIN,Nucleus
NR2F1,Nucleus
ZNF501,Nucleus
KIF5B,Cytoplasm
FMNL2,Cytoplasm
MYO5B,Cytoplasm
RPS19,Cytoplasm
L3MBTL3,Nucleus
RPGR,Cytoplasm
GPR42,Cell membrane
DNAJC12,Cytoplasm
KLF6,Nucleus
COX19,Cytoplasm
DPP9,Nucleus
TDGF1,Cell membrane
IGF2BP2,Nucleus
ZBTB11,Nucleus
FBXO5,Nucleus
ZNF266,Nucleus
ZNF550,Nucleus
CYTIP,Cytoplasm
OR2M3,Cell membrane
AKR7A3,Cytoplasm
RHOXF1,Nucleus
TMEFF1,Cell membrane
FANCC,Nucleus
ZNF687,Cytoplasm
BTBD6,Cytoplasm
BLTP2,Cell membrane
ZNF875,Nucleus
P2RX4,Cell membrane
RPS14,Cytoplasm
ZNF350,Nucleus
FILIP1,Cytoplasm
WDR46,Nucleus
OR10H2,Cell membrane
SBF2,Cytoplasm
EIF5,Cytoplasm
GAK,Cytoplasm
ARL6IP4,Nucleus
HSPA1A,Cytoplasm
TRIM5,Cytoplasm
MAF,Nucleus
IKZF4,Nucleus
ANKRD13D,Cell membrane
APC2,Cytoplasm
FAM9B,Nucleus
EDNRA,Cell membrane
OR52K1,Cell membrane
DNAJC2,Nucleus
REXO4,Nucleus
MPHOSPH10,Nucleus
FAU,Cytoplasm
FMNL3,Cytoplasm
NECTIN2,Cell membrane
TRIM47,Cytoplasm
MYH7,Cytoplasm
ZNF808,Nucleus
BHLHE40,Cytoplasm
AIRE,Nucleus
ABHD5,Cytoplasm
SRRM4,Nucleus
GJB3,Cell membrane
BCL11A,Cytoplasm
ZNF699,Nucleus
DUSP8,Cytoplasm
ZNF80,Nucleus
KRT5,Cytoplasm
AEN,Nucleus
TPM2,Cytoplasm
MED7,Nucleus
MCM9,Nucleus
H4C4,Nucleus
KIF6,Cytoplasm
EML5,Cytoplasm
ZNF304,Nucleus
ADCYAP1R1,Cell membrane
RAB23,Cell membrane
GTF3C4,Nucleus
TBCEL,Cytoplasm
UBR5,Nucleus
RIOK1,Cytoplasm
OR6Y1,Cell membrane
EYA4,Cytoplasm
PPEF2,Cytoplasm
S100A7,Cytoplasm
ZNF268,Nucleus
LURAP1,Cytoplasm
OR5A1,Cell membrane
ZFP28,Nucleus
DNAH5,Cytoplasm
DGCR8,Nucleus
STAT5B,Cytoplasm
AMER3,Cell membrane
TNPO2,Cytoplasm
DEPDC5,Cytoplasm
POLR1H,Nucleus
P2RY11,Cell membrane
LHX3,Nucleus
MAP2K2,Cytoplasm
SGO1,Nucleus
STAT5A,Cytoplasm
RPS3A,Cytoplasm
GAS2L1,Cytoplasm
PRKD1,Cytoplasm
OAZ3,Nucleus
KANSL3,Nucleus
TNMD,Cytoplasm
NHP2,Nucleus
ZNF366,Nucleus
DHX9,Nucleus
BUD13,Nucleus
DUSP18,Cytoplasm
TWF2,Cytoplasm
APOB,Cytoplasm
SRSF2,Nucleus
IDH1,Cytoplasm
HAVCR1,Cell membrane
DDX52,Nucleus
PIP5K1C,Cytoplasm
CTNNAL1,Cytoplasm
HECW1,Cytoplasm
TRIM4,Cytoplasm
ZNF672,Nucleus
PRCC,Nucleus
PAN2,Cytoplasm
CLNS1A,Cytoplasm
WBP11,Nucleus
METTL16,Nucleus
UTP14C,Nucleus
RASA3,Cell membrane
DUSP9,Cytoplasm
OR4Q3,Cell membrane
F2RL2,Cell membrane
BRF2,Nucleus
ABT1,Nucleus
ZIC1,Nucleus
SLC16A12,Cell membrane
SLC16A4,Cell membrane
OR2T10,Cell membrane
EED,Nucleus
TSPOAP1,Cytoplasm
DNAJC17,Cytoplasm
ENPP7,Cell membrane
RPS28,Cytoplasm
PHF14,Cytoplasm
SLC25A17,Cytoplasm
NAA25,Cytoplasm
STK38,Nucleus
EEF1A1,Cytoplasm
TMEM98,Cell membrane
TPM4,Cytoplasm
XPC,Nucleus
ACLY,Cytoplasm
APOL2,Cytoplasm
IRF1,Nucleus
RABEP2,Cytoplasm
VPS26B,Cytoplasm
CDY1B,Nucleus
MED13L,Nucleus
MPHOSPH8,Nucleus
LANCL2,Nucleus
MAB21L2,Nucleus
DNAJB4,Cytoplasm
CENPA,Nucleus
ZNF689,Nucleus
OR6C3,Cell membrane
DNM1L,Cytoplasm
OR10X1,Cell membrane
YPEL3,Nucleus
RNF207,Cytoplasm
SLC26A6,Cell membrane
DAPK3,Nucleus
TGIF2,Nucleus
TNFRSF21,Cell membrane
PLXNB3,Cell membrane
NEDD1,Cytoplasm
PRPF4,Nucleus
PUM1,Cytoplasm
CHRM5,Cell membrane
ZMYND19,Cytoplasm
NOBOX,Nucleus
OR5A2,Cell membrane
